PDB ID,PDB Chain Id,Protein,Source Organism,Protein length,Experimental Methods,Resolution (Å),Oligomeric State,Chain 1,Chain 2,Category,BSA_complex,BSA_chain1,BSA_chain2,FNP_complex,FNP_chain1,FNP_chain2,FBU_complex,FBU_chain1,FBU_chain2,LD_complex,LD_chain1,LD_chain2
4RB1,AB:D,DNA-binding transcriptional dual regulator of siderophore biosynthesis and transport(Fur family),M. gryphiswaldense,145,X,2.75,Heterodimer,A,B,Protein-Protein,2215.37,1114.18,1101.19,73.13,73.79,72.47,34.84,35.14,34.55,77.18,39.91,40.29
4ROC,AB:NT,TATA-box-binding protein+Transcription factor IIIB 50 kDa subunit,H. sapiens,183+360,X,1.9,Hetero dimer,A,B,Protein-Protein,3991.39,1966.11,2025.28,59.99,64.28,55.83,29.07,28.71,29.44,74.75,36.55,40.23
4WLS,AB:XYUV,HTH-type transcriptional regulator CueR,E. coli,128,X,2.11,Homodimer,A,B,Protein-Protein,3248.01,1625.64,1622.37,75.59,77.03,74.15,40.07,41.55,38.57,85.35,43.76,43.56
4WU4,AB:GH,Response regulator receiver domain protein,,68,X,2.3,Homodimer,A,B,Protein-Protein,871.65,436.57,435.08,71.33,71.58,71.08,18.39,16.67,20.0,57.13,29.71,30.49
5D8C,AB:CD,MerR family regulator protein,H. influenzae,137,X,2.25,Homodimer,A,B,Protein-Protein,3464.45,1727.62,1736.83,79.62,79.74,79.51,52.25,51.46,53.09,79.59,41.2,40.77
5DY0,ABCD:EFGH,TetR family transcriptional regulator,,230,X,3.0,Homodimer,A,B,Protein-Protein,1617.03,802.89,814.14,78.46,77.13,79.77,21.34,24.71,17.72,51.77,27.67,26.05
5F7Q,CEJL:FK,Lmo0178 protein,L. monocytogenes serovar 1/2a,407,X,2.4,Homodimer,C,E,Protein-Protein,4297.95,2151.83,2146.12,65.42,65.01,65.83,35.12,35.19,35.05,77.65,40.2,40.22
5FMP,AB:CD,HTH-TYPE TRANSCRIPTIONAL REPRESSOR KSTR,M. tuberculosis,205,X,2.26,Homodimer,A,B,Protein-Protein,2735.87,1368.51,1367.36,69.26,69.3,69.22,28.36,27.01,29.77,71.87,37.34,37.4
5GNJ,GIABEFMN:KLCDHJOP,Transcription factor MYC2,A. thaliana,89,X,2.7,Homodimer,A,B,Protein-Protein,3312.42,1634.54,1677.88,87.16,87.37,86.96,43.13,44.52,41.77,74.59,38.5,39.89
5GPC,ABCD:GE,Transcriptional regulator (TetR/AcrR family),H. halodurans,194,X,2.8,Homodimer,A,B,Protein-Protein,3523.33,1759.06,1764.27,65.68,65.4,65.97,37.02,37.5,36.52,94.14,49.28,48.01
5H3R,AB:CD,Multiple antibiotic resistance protein MarR,E. coli,147,X,2.67,Homodimer,A,B,Protein-Protein,5782.71,2889.63,2893.08,71.93,72.01,71.85,36.65,32.26,40.94,106.36,52.56,55.49
5HLG,ABCDEFGH:IJKLMNOP,MarR family transcriptional regulator,S. epidermidis,148,X,3.0,Homodimer,A,B,Protein-Protein,5295.27,2669.35,2625.92,72.87,73.27,72.47,37.18,37.75,36.64,124.14,61.53,62.82
5HSO,ABCD:EF,Uncharacterized HTH-type transcriptional regulator Rv2887,M. tuberculosis,160,X,2.5,Homodimer,A,B,Protein-Protein,3811.05,1910.2,1900.85,70.02,69.19,70.86,32.58,32.22,32.95,99.9,51.16,49.92
5I44,BADEGFHIJK:UTZRPW need to check the interface,Chromosome-anchoring protein RacA,B. subtilis,69,X,2.62,Homodimer,A,B,Protein-Protein,279.69,139.99,139.7,69.59,70.48,68.7,6.06,6.25,5.88,30.61,14.62,15.88
5JUB,ABCD:XZ,ComS+Transcriptional regulator,S. thermophilus,310+8,X,2.57,Homodimer,A,B,Protein-Protein,3749.52,1897.3,1852.22,64.4,67.36,61.37,22.06,19.49,24.51,66.54,31.49,37.65
5K5Q,CDABEF:PN,AspA,S. sp. NOB8H2,92,X,2.65,Heterodimer,A,B,Protein-Protein,2927.17,1467.93,1459.24,79.93,82.51,77.34,37.68,44.03,31.69,98.76,50.18,51.48
5K7Z,ABCD:EF,"Transcriptional regulator, TetR family",M. xanthus,231,X,2.92,Homo 2-mer,A,B,Protein-Protein,2885.46,1435.75,1449.71,60.9,59.08,62.71,44.0,43.21,44.79,95.35,48.63,48.69
5LEJ,AB:CD,Listeriolysin regulatory protein,L. monocytogenes serovar 1/2a,237,X,2.7,Homodimer,A,B,Protein-Protein,4920.74,2469.44,2451.3,60.67,61.63,59.69,42.56,41.0,44.12,108.45,55.76,55.53
5MHJ,AB:EF,Major viral transcription factor ICP4,H. herpesvirus 1,201,X,2.12,Homodimer,A,B,Protein-Protein,5692.92,2855.56,2837.36,68.43,68.89,67.98,48.41,47.85,48.98,107.57,56.88,54.64
5MPF,AB:EF,Grainyhead-like protein 1 homolog,H. sapiens,238,X,2.92,Homodimer,A,B,Protein-Protein,432.12,215.84,216.28,44.03,38.93,49.11,8.33,8.0,8.7,40.04,22.32,20.87
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,J,T,Protein-Protein,28.21,14.03,14.18,19.21,38.63,0.0,0.0,0.0,0.0,3.0,1.0,1.0
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,J,D,Protein-Protein,1235.19,641.65,593.54,65.72,69.03,62.14,24.46,20.31,28.0,60.36,30.78,31.71
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,J,F,Protein-Protein,1905.07,997.54,907.53,65.5,64.41,66.71,35.08,35.23,34.95,85.03,42.86,44.02
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,C,A,Protein-Protein,3844.97,1878.62,1966.35,54.4,50.85,57.8,27.16,29.47,24.6,73.32,38.24,38.29
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,C,B,Protein-Protein,440.52,215.66,224.86,48.15,39.19,56.75,11.11,12.0,10.34,38.85,18.08,21.03
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,C,D,Protein-Protein,15436.77,7844.77,7592.0,66.24,65.75,66.75,39.21,38.82,39.58,110.15,60.26,54.17
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,C,E,Protein-Protein,496.4,254.27,242.13,38.28,33.13,43.69,3.7,3.45,4.0,28.59,15.1,13.52
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,C,F,Protein-Protein,4042.45,2048.05,1994.4,67.26,65.91,68.63,17.68,19.91,15.35,57.45,31.27,27.4
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,D,A,Protein-Protein,98.08,47.79,50.29,50.57,9.79,89.32,0.0,0.0,0.0,6.73,3.33,2.4
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,D,B,Protein-Protein,2266.15,1176.38,1089.77,62.17,56.86,67.9,24.48,26.79,22.48,70.08,35.09,36.29
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,D,E,Protein-Protein,4149.99,2061.47,2088.52,68.9,67.12,70.65,34.07,29.05,39.39,98.93,46.84,55.37
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,D,F,Protein-Protein,4500.31,2257.41,2242.9,59.82,57.64,62.01,25.54,25.0,26.09,71.09,37.4,35.59
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,D,B,Protein-Protein,2266.15,1176.38,1089.77,62.17,56.86,67.9,24.48,26.79,22.48,70.08,35.09,36.29
5TW1,JABCDEFT:OP,DNA-directed RNA polymerase subunit alpha+DNA-directed RNA polymerase subunit beta+DNA-directed RNA polymerase subunit beta'+DNA-directed RNA polymerase subunit omega+RNA polymerase sigma factor SigA+RNA polymerase-binding protein RbpA+Unknown peptide,M. smegmatis,107+114+1169+1317+17+350+466,X,2.76,Hetero 9-mer,D,A,Protein-Protein,98.08,47.79,50.29,50.57,9.79,89.32,0.0,0.0,0.0,6.73,3.33,2.4
5VL9,ABCD:EFGH,Regulatory protein TetR,E. lignolyticus,192,X,2.16,Homodimer,A,B,Protein-Protein,2981.14,1478.54,1502.6,66.2,64.71,67.67,37.67,37.75,37.58,83.27,43.43,43.85
5X11,ABCDEFGH:IJMN,Transcriptional regulator,B. spizizenii,188,X,2.65,Homodimer,A,B,Protein-Protein,6854.94,3432.7,3422.24,71.75,71.05,72.45,43.2,42.24,44.13,119.41,60.54,62.61
5X5L,ABEHMN:CDFG,AdeR,A. baumannii,109,X,2.75,Heterodimer,A,E,Protein-Protein,578.01,273.07,304.94,66.3,67.44,65.28,21.67,22.58,20.69,42.6,20.0,23.03
5X5L,ABEHMN:CDFG,AdeR,A. baumannii,109,X,2.75,Heterodimer,A,H,Protein-Protein,689.88,342.75,347.13,44.18,32.54,55.67,23.19,27.27,19.44,53.45,27.15,26.94
5X5L,ABEHMN:CDFG,AdeR,A. baumannii,109,X,2.75,Heterodimer,B,H,Protein-Protein,725.48,346.7,378.78,69.0,70.3,67.82,26.32,28.57,23.53,41.82,21.48,20.59
5X5L,ABEHMN:CDFG,AdeR,A. baumannii,109,X,2.75,Heterodimer,B,E,Protein-Protein,724.4,363.06,361.34,44.92,37.24,52.65,36.36,35.0,37.84,57.92,32.05,27.95
5X5L,ABEHMN:CDFG,AdeR,A. baumannii,109,X,2.75,Heterodimer,E,M,Protein-Protein,22.26,10.57,11.69,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
5XFQ,ABEF:CD,PHD finger protein 1+Peptide from Histone H3,M. musculus,13+336,X,2.4,Homo 2-mer,A,B,Protein-Protein,1419.81,721.5,698.31,59.3,62.89,55.59,10.07,12.7,7.89,34.82,15.97,19.42
5XSK,AB:DF,Hepatoma-derived growth factor,R. norvegicus,120,X,2.84,Homodimer,A,B,Protein-Protein,5390.27,2690.38,2699.89,68.21,68.55,67.87,45.34,44.16,46.52,109.89,54.88,54.81
5YEJ,ABC:DFG,TetR family transcriptional regulator,M. smegmatis,232,X,2.7,Homodimer,B,C,Protein-Protein,2017.2,1019.9,997.3,72.31,73.91,70.66,33.33,33.02,33.64,81.82,43.19,42.24
5YI2,ABEFIJMN:CGKODPLH,Zinc transport transcriptional regulator,L. lactis subsp. lactis,146,X,2.6,Homodimer,A,B,Protein-Protein,4453.75,2211.48,2242.27,79.26,77.26,81.23,36.92,34.72,39.15,119.64,59.81,59.31
5ZD4,CDAB:GHEF,"Maltose-binding periplasmic protein,Protein BRASSINAZOLE-RESISTANT 1",A. thaliana,453,X,2.17,Homodimer,C,D,Protein-Protein,3120.3,1561.84,1558.46,58.56,58.41,58.72,35.76,34.76,36.84,66.6,34.54,34.18
6C2S,ABCD:UVXY,"Transcriptional regulator, MarR family",R. palustris,186,X,2.85,Homodimer,A,D,Protein-Protein,5076.21,2557.37,2518.84,72.81,72.02,73.61,36.58,36.24,36.89,107.14,51.56,54.84
6C31,ABCDEFGH:IJKL,TetR family transcriptional regulator,M. tuberculosis,214,X,3.0,Homodimer,A,B,Protein-Protein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6C31,ABCDEFGH:IJKL,TetR family transcriptional regulator,M. tuberculosis,214,X,3.0,Homodimer,B,C,Protein-Protein,3051.68,1516.53,1535.15,78.49,78.86,78.13,32.01,30.72,33.33,86.31,45.25,44.45
6C31,ABCDEFGH:IJKL,TetR family transcriptional regulator,M. tuberculosis,214,X,3.0,Homodimer,C,D,Protein-Protein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6CG8,ABDE:CF,UPF0335 protein B7Z12_12435,C. vibrioides,78,X,2.3,Homodimer,A,B,Protein-Protein,2688.12,1343.41,1344.71,77.41,80.21,74.62,34.75,34.71,34.78,67.34,34.18,33.46
6CG8,ABDE:CF,UPF0335 protein B7Z12_12435,C. vibrioides,78,X,2.3,Homodimer,A,D,Protein-Protein,813.84,411.24,402.6,86.11,83.06,89.23,19.23,21.43,16.67,35.28,18.62,16.06
6CG8,ABDE:CF,UPF0335 protein B7Z12_12435,C. vibrioides,78,X,2.3,Homodimer,A,E,Protein-Protein,1704.54,850.55,853.99,67.34,69.85,64.84,16.99,16.46,17.57,51.53,28.23,25.32
6CG8,ABDE:CF,UPF0335 protein B7Z12_12435,C. vibrioides,78,X,2.3,Homodimer,B,D,Protein-Protein,1661.52,821.92,839.6,69.26,70.93,67.62,19.87,19.23,20.51,53.12,27.15,28.1
6CG8,ABDE:CF,UPF0335 protein B7Z12_12435,C. vibrioides,78,X,2.3,Homodimer,B,E,Protein-Protein,918.35,456.21,462.14,83.61,79.22,87.93,18.28,21.74,14.89,42.06,20.61,21.15
6CG8,ABDE:CF,UPF0335 protein B7Z12_12435,C. vibrioides,78,X,2.3,Homodimer,D,E,Protein-Protein,2711.76,1356.18,1355.58,77.41,78.33,76.5,29.61,29.82,29.41,66.77,33.32,34.69
6CHV,ACBDGH:IJEFKL,Antitoxin HigA,P. vulgaris,121,X,2.9,Homodimer,A,C,Protein-Protein,2693.35,1333.01,1360.34,71.81,71.9,71.72,33.46,33.33,33.59,67.07,33.97,35.68
6CRO,A:RU,LAMBDA CRO REPRESSOR,E. phage lambda,60,X,3.0,Homodimer,A,B,Protein-Protein,1332.64,666.31,666.33,68.38,68.38,68.38,34.85,34.85,34.85,68.98,34.3,34.3
6HP7,AB:CD,SPBc2 prophage-derived uncharacterized protein YopK,B. subtilis,386,X,2.2,Homodimer,A,B,Protein-Protein,2720.67,1348.83,1371.84,73.47,74.19,72.76,38.97,39.19,38.73,70.63,37.47,36.41
6IDE,AB:CD,Transcriptional regulator LuxR family,,256,X,2.51,Homodimer,A,B,Protein-Protein,6521.82,3251.47,3270.35,71.74,73.06,70.42,29.66,28.22,31.1,93.85,49.74,47.97
6JBX,AB:CD,Fatty acid biosynthesis transcriptional regulator,S. pneumoniae,152,X,2.2,Homodimer,A,B,Protein-Protein,5140.23,2540.63,2599.6,77.47,81.73,73.3,30.85,34.17,27.39,102.65,51.65,50.83
6JGW,BA:CD,CadR,P. putida,147,X,2.8,Homodimer,A,B,Protein-Protein,3664.93,1833.95,1830.98,66.28,65.72,66.84,45.69,45.66,45.71,90.68,46.64,46.72
6LB3,ABCDEFGH:IJKLMN check the other interfaces,HTH cro/C1-type domain-containing protein,P. aeruginosa,109,X,2.5,Homo 4-mer,A,B,Protein-Protein,2880.12,1453.54,1426.58,72.97,73.81,72.11,34.55,34.07,35.0,68.98,35.78,36.49
6LXN,AB:CD,Transcriptional regulatory protein OmpR,E. coli,113,X,2.93,Homodimer,A,B,Protein-Protein,496.52,265.93,230.59,53.85,51.47,56.6,12.73,12.5,12.9,35.78,19.08,17.16
6MRJ,ABCD:LM check dimer interfaces,Nickel-responsive regulator,H. pylori,148,X,2.8,Homo 4-mer,A,B,Protein-Protein,6165.54,3114.04,3051.5,68.0,68.2,67.8,34.71,32.46,36.81,105.38,47.64,58.9
6MRJ,ABCD:LM check dimer interfaces,Nickel-responsive regulator,H. pylori,148,X,2.8,Homo 4-mer,A,C,Protein-Protein,180.11,90.36,89.75,54.37,56.73,52.0,0.0,0.0,0.0,13.88,6.75,6.89
6MRJ,ABCD:LM check dimer interfaces,Nickel-responsive regulator,H. pylori,148,X,2.8,Homo 4-mer,A,D,Protein-Protein,1852.51,921.92,930.59,55.63,53.97,57.26,43.78,43.88,43.69,84.72,43.59,44.76
6MRJ,ABCD:LM check dimer interfaces,Nickel-responsive regulator,H. pylori,148,X,2.8,Homo 4-mer,B,C,Protein-Protein,1793.73,877.72,916.01,59.03,58.0,60.01,40.64,41.94,39.36,81.26,43.25,40.89
6MRJ,ABCD:LM check dimer interfaces,Nickel-responsive regulator,H. pylori,148,X,2.8,Homo 4-mer,B,D,Protein-Protein,155.59,77.81,77.78,52.61,54.52,50.69,0.0,0.0,0.0,13.75,6.75,6.75
6MRJ,ABCD:LM check dimer interfaces,Nickel-responsive regulator,H. pylori,148,X,2.8,Homo 4-mer,C,D,Protein-Protein,6556.65,3235.77,3320.88,68.79,66.25,71.27,40.38,41.14,39.61,111.56,62.76,51.49
6NSM,AB:CD,TetR family transcriptional regulator CifR,P. aeruginosa,198,X,2.8,Homodimer,A,B,Protein-Protein,3549.39,1768.77,1780.62,64.22,64.22,64.22,45.05,44.13,45.95,87.74,45.01,46.77
6ON0,AB:CN,Gp39,R. N15,71,X,1.6,Homodimer,A,B,Protein-Protein,1389.2,695.78,693.42,64.58,64.9,64.27,50.34,49.33,51.43,88.17,48.03,44.4
6P0S,ABE:CD,DNA-binding protein Fis+Excisionase,E. phage lambda,55+98,X,2.7,FiS Homodimer and Excisionase Monomer,A,B,Protein-Protein,4071.9,2013.06,2058.84,77.51,76.8,78.2,40.36,40.1,40.62,112.65,57.65,57.67
6P1A,ABC:DEFG,Q protein,E. phage 21,162,X,2.84,Homo 2-mer,A,B,Protein-Protein,312.4,181.6,130.8,34.81,29.29,42.48,8.11,5.88,10.0,28.32,15.65,12.6
6Q2B,AB:CD,MarR family transcriptional regulator,L. monocytogenes serovar 1/2a,153,X,2.72,Homodimer,A,B,Protein-Protein,6601.52,3313.29,3288.23,69.64,68.23,71.07,34.84,35.74,33.9,117.84,59.67,58.2
6QFD,ABCD:EFGH,DNA-binding protein,H. salinarum,116,X,2.13,Hetero 2-merHeterodimer,A,B,Protein-Protein,4144.25,2066.91,2077.34,48.02,49.79,46.27,39.37,40.48,38.24,114.91,59.8,57.06
6RYD,ABEF:CDGH,Protein WUSCHEL,A. thaliana,76,X,1.58,Homodimer,E,F,Protein-Protein,370.86,191.47,179.39,76.72,66.31,87.84,17.02,13.04,20.83,42.72,20.96,21.0
6W1A,AB:EF,Transcriptional regulator,S. dysgalactiae,284,X,2.8,Homodimer,A,B,Protein-Protein,5332.48,2636.32,2696.16,66.78,66.97,66.6,23.29,23.53,23.05,83.59,43.98,42.53
6ZA3,AB:EF,"Transcriptional regulator, GntR family",A. fabrum,250,X,2.05,Homodimer,A,B,Protein-Protein,2784.36,1372.48,1411.88,43.92,44.44,43.41,23.28,23.36,23.2,69.86,37.61,33.95
7AMN,BA:EF,HTH-type transcriptional regulator LuxR,V. alginolyticus,221,X,2.3,Homodimer,A,B,Protein-Protein,3817.2,1889.08,1928.12,61.64,61.95,61.33,34.24,34.8,33.66,98.62,52.1,51.54
7B0C,AB:CD,HTH-type transcriptional repressor NsrR,S. coelicolor,161,X,3.0,Homodimer,A,B,Protein-Protein,4176.09,2086.15,2089.94,70.62,70.98,70.26,39.79,39.69,39.9,91.73,47.81,48.62
7BCB,AB:CD,KORA domain-containing protein,E. coli,110,X,2.8,Homodimer,A,B,Protein-Protein,2598.78,1322.06,1276.72,70.94,70.44,71.45,43.08,42.86,43.28,118.08,59.46,59.49
7BHY,ABC:EG,Deoxyribonucleoside regulator,B. subtilis,57,X,2.3,Homodimer,A,B,Protein-Protein,1303.35,645.1,658.25,60.65,63.62,57.74,34.15,37.5,30.51,64.93,33.75,32.75
7BZG,ABEFIJ:CDGHKL,HTH-type transcriptional activator HxlR,B. subtilis,123,X,2.9,Homodimer,A,B,Protein-Protein,3438.69,1705.49,1733.2,76.3,76.18,76.42,44.18,45.18,43.2,98.2,49.01,51.68
7C0G,AB:CD,Aca1,P. phage JBD30,79,X,2.4,Homo 2-mer,A,B,Protein-Protein,1304.64,655.02,649.62,72.4,72.64,72.15,38.58,38.1,39.06,68.66,34.67,35.5
7C9O,ABC:DE,Nuclear transcription factor Y subunit B-11+Nuclear transcription factor Y subunit C-2+Zinc finger protein HD1,O. sativa subsp. japonica,104+67+95,X,2.55,trimer,A,B,Protein-Protein,973.81,490.74,483.07,51.5,49.23,53.82,14.29,12.73,15.79,52.55,27.05,26.74
7C9O,ABC:DE,Nuclear transcription factor Y subunit B-11+Nuclear transcription factor Y subunit C-2+Zinc finger protein HD1,O. sativa subsp. japonica,104+67+95,X,2.55,trimer,A,C,Protein-Protein,1288.2,655.84,632.36,51.56,43.36,60.07,11.19,8.06,13.89,51.72,25.9,27.14
7C9O,ABC:DE,Nuclear transcription factor Y subunit B-11+Nuclear transcription factor Y subunit C-2+Zinc finger protein HD1,O. sativa subsp. japonica,104+67+95,X,2.55,trimer,B,C,Protein-Protein,4679.63,2323.17,2356.46,72.16,70.79,73.5,47.64,47.75,47.53,102.67,51.73,55.0
7DVV,AB:LM,HTH marR-type domain-containing protein,S. agalactiae serotype III,153,X,2.49,Homodimer,A,B,Protein-Protein,3753.18,1851.48,1901.7,74.51,74.16,74.84,14.99,16.38,13.53,73.13,38.33,36.14
7EL3,AB:CD,Homoprotocatechuate degradation operon regulator HpaR,A. baumannii,141,X,1.7,Homodimer,A,B,Protein-Protein,4540.73,2275.94,2264.79,74.13,73.5,74.77,40.98,42.92,39.13,122.26,59.43,60.33
7EOF,BA:CD,Coiled-coil domain-containing protein 25,H. sapiens,204,X,2.73,Homo 2-mer,A,B,Protein-Protein,1855.48,931.92,923.56,61.17,61.61,60.72,19.46,21.28,17.58,50.92,26.23,25.8
7F2F,AB:EH,Serine-rich protein TYE7,S. cerevisiae,136,X,2.55,Homodimer,A,B,Protein-Protein,3119.04,1581.31,1537.73,75.79,76.98,74.56,37.64,38.24,37.04,69.3,35.9,36.33
7F9H,AB:CD,EnrR repressor,E. piscicida,90,X,1.78,Monomer,A,B,Protein-Protein,273.43,135.84,137.59,44.7,44.04,45.34,15.15,17.65,12.5,31.64,15.88,15.0
7JNP,AB:CD,HTH-type transcriptional regulator MtrR,N. gonorrhoeae,213,X,2.6,Homodimer,A,B,Protein-Protein,3461.14,1737.05,1724.09,63.7,62.73,64.68,41.8,42.55,41.01,96.75,52.71,48.26
7PZA,AB:CDEF,Putative cAMP-binding protein-catabolite gene activator,R. meliloti,244,X,2.72,Homodimer,A,B,Protein-Protein,3806.82,1908.63,1898.19,73.22,73.28,73.17,32.13,32.42,31.84,84.07,43.57,42.92
7T8K,AB:CD,BrxR,A. sp. NEB 394,291,X,2.3,Homodimer,A,B,Protein-Protein,8071.26,4033.36,4037.9,63.57,64.58,62.55,33.38,34.09,32.65,92.93,49.84,47.73
7V6W,FBCAEMLIKNDJ:GHPO,Antitoxin+Putative mRNA interferase YoeB,S. aureus,85+89,X,2.55,Homodimer,A,B,Protein-Protein,2797.84,1401.59,1396.25,71.46,71.72,71.2,42.31,43.36,41.26,89.08,46.81,44.41
7V6W,FBCAEMLIKNDJ:GHPO,Antitoxin+Putative mRNA interferase YoeB,S. aureus,85+89,X,2.55,Homodimer,C,D,Protein-Protein,2799.62,1399.34,1400.28,71.55,73.27,69.83,41.76,41.91,41.61,84.42,43.6,42.54
7VJQ,AB:CD,anti-CRISPR-associated protein Aca2,P. phage ZF40,121,X,2.79,Homodimer,A,B,Protein-Protein,2306.24,1154.02,1152.22,66.71,66.7,66.72,39.02,40.32,37.7,82.76,43.92,42.9
7VP1,AB:CD,Transcription factor TCP10,A. thaliana,107,X,2.9,Homo 2-mer,A,B,Protein-Protein,3906.15,1921.77,1984.38,65.69,66.57,64.84,28.61,29.9,27.22,108.01,57.01,54.72
7X5G,ABEF:CDGH,Nuclear factor erythroid 2-related factor 2+Transcription factor MafG,H. sapiens,104+113,X,2.3,Heterodimer,A,B,Protein-Protein,2136.29,1071.74,1064.55,75.7,70.46,80.98,30.69,28.71,32.95,59.32,31.68,29.64
7XQ5,AB:CD,Protein INO2+Protein INO4,S. cerevisiae,73+75,X,2.25,Heterodimer,A,B,Protein-Protein,2548.66,1268.44,1280.22,77.42,77.28,77.57,39.92,38.46,41.32,73.04,38.41,37.59
7ZG5,ABCD:EF,Acetyltransferase+DUF1778 domain-containing protein,S. typhimurium,176+94,X,2.0,Homodimer,C,D,Protein-Protein,155.1,78.65,76.45,49.85,39.33,60.67,0.0,0.0,0.0,11.36,5.67,4.8
8B4B,WXYZ:LM,Cholera toxin transcriptional activator,V. cholerae serotype O1,110,X,1.75,Monomer tandem repeat,W,X,Protein-Protein,520.86,262.14,258.72,43.4,47.06,39.69,6.56,11.76,0.0,40.95,21.35,20.07
